"Domestic spending on research and development (GERD), funding sector, by province (Canada) in 2012",,,,, 
Canada,31307,,,,
Federal government,5979,,,,
Provincial government,2028,,,,
Business enterprises,14833,,,,
Higher education,5417,,,,
Private non-profit,1185,,,,
Foreign,1859,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Notes: Gross Domestic Expenditures on Research and Development (GERD) refers to all monies expended for Research and Development (R & D) performed within the country in a given year. Total GERD is often displayed by performing sector as well as by funding sector. Sources: Statistics Canada, CANSIM, table 358-0001 and Catalogue no. 88-221-X. Last modified: 2014-10-17.",,,,,
